postid	score	favCount	viewcount	link	problem	device	newbie	API change	deprecated	bug	discussion	ask for bug	tutorial	media player	SimpleGLSurfaceView	TextView	Tabactivity, Tabs, Taborder, Actionbar, TabListener	Audio 	DB	Edittext	layout, gridview, linear layout, table layout	Fragment/ListFragment	Intent	Listview	Animation	Service	ArrayAdapter	Button, CheckB0x	AsyncTask	ImageView	SharedPreferences	Location Service	GestureOverlayView	exernal apis, twitter, libgdx, unity3d, ant	Dialog	Webview	write/readFile, upload, download	Spinner, Viewpager (View)	Date Format	ArrayList	MapView	Activity	Bundle	camera, canvas	ohters(telephony manager, in App billing, pending intent, softkeyboard, bluetooth, viewhierarchy, remote)		
4996470	5	6	6480	http://stackoverflow.com/questions/4996470	bitmap download, tutorial								1																								1									problem	android.util.Log, android.graphics.BitmapFactory, android.graphics.Bitmap, 
4078039	8	2	7086	http://stackoverflow.com/questions/4078039	remote view																																									problem	android.content.Context, android.test.mock.MockContext, android.content.ContextWrapper, android.view.accessibility.AccessibilityEvent, android.view.accessibility.AccessibilityNodeInfo, android.appwidget.AppWidgetManager, android.widget.RemoteViews, android.content.ComponentName, android.view.inputmethod.InputMethodInfo, android.service.notification.StatusBarNotification, android.app.WallpaperInfo, android.view.textservice.SpellCheckerInfo, android.app.admin.DeviceAdminInfo, 
4010623	8	5	5167	http://stackoverflow.com/questions/4010623	checkedtextview listener											1																														problem	android.widget.TextView, android.view.View, android.content.Context, android.widget.AdapterView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.database.Cursor, android.graphics.BitmapFactory, android.widget.SimpleCursorAdapter, android.widget.CheckedTextView, 
3868223	3	1	6568	http://stackoverflow.com/questions/3868223	telephony manager																																								1	exception	android.widget.Toast, android.telephony.TelephonyManager, android.telephony.NeighboringCellInfo, android.telephony.gsm.GsmCellLocation, 
3664440	19	7	11880	http://stackoverflow.com/questions/3664440	webview post, bug					1																										1										other solution	android.webkit.WebView, android.webkit.WebViewClient, 
3050717	4	4	2937	http://stackoverflow.com/questions/3050717	mediaplayer bug					1				1																																problem	android.util.Log, android.view.SurfaceHolder, android.media.MediaPlayer, android.app.ProgressDialog, android.widget.ProgressBar, android.media.audiofx.AudioEffect, android.media.audiofx.Visualizer, 
7211684	25	18	27140	http://stackoverflow.com/questions/7211684	async task, api version			1																					1																	other solution	android.os.AsyncTask, 
					sum	4	4	3	2	3	0	2	10	4	1	7	4	1	4	2	6	4	4	9	3	2	1	2	4	3	1	1	2	7	1	4	5	2	1	1	2	4	0	3	3		
																																															
																																														15	how to
																																														17	exception
																																														4	is it possible
																																														52	problem
																																														6	other solution
																																														6	why
